epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66356,2.97962,4.16797,1.11989,0.00376,0.55392,0.00281,0.00208,2.02635,3.95033,0.92955,3.334e-05,3.334e-05,3.334e-05
2,6.85136,2.53523,4.07314,0.96703,0.01303,0.7402,0.01024,0.00502,1.33097,3.89519,0.85382,8.25248e-05,8.25248e-05,8.25248e-05
3,10.0477,1.65658,3.7056,0.86865,0.02064,0.93137,0.03667,0.01256,1.84491,3.85583,0.87713,0.000130719,0.000130719,0.000130719
4,13.1083,1.7207,3.10914,0.86392,0.02135,0.98529,0.06031,0.02441,1.76468,3.73614,0.87565,0.000177924,0.000177924,0.000177924
5,16.2853,1.59306,2.1462,0.84603,0.02135,1,0.06616,0.02308,1.44747,3.58079,0.84171,0.000224138,0.000224138,0.000224138
6,19.4324,1.5116,1.41814,0.84272,0.02124,0.9951,0.25844,0.08908,1.43852,3.36391,0.84625,0.000269362,0.000269362,0.000269362
7,22.6691,1.5749,1.29963,0.85001,0.02125,1,0.327,0.11471,1.46309,3.10898,0.84974,0.000313596,0.000313596,0.000313596
8,25.9058,1.5875,1.21842,0.82139,0.02102,1,0.70855,0.34302,1.47583,2.97326,0.84967,0.00035684,0.00035684,0.00035684
9,29.1938,1.59885,1.13849,0.81352,0.0202,0.9951,0.88121,0.50424,1.44347,2.78048,0.8514,0.000399093,0.000399093,0.000399093
10,32.4814,1.55092,1.14656,0.80765,0.01985,0.9951,0.92426,0.53831,1.35016,2.70222,0.8457,0.000440356,0.000440356,0.000440356
11,36.8616,1.39895,0.99228,0.8207,0.0192,0.9951,0.96007,0.55007,1.28408,2.62491,0.83847,0.000480629,0.000480629,0.000480629
12,41.2194,1.49542,1.04333,0.83103,0.01888,0.9951,0.96129,0.51378,1.35431,2.63443,0.84497,0.000519912,0.000519912,0.000519912
13,45.8232,1.41833,0.96714,0.82464,0.01886,1,0.96815,0.50101,1.36172,2.63833,0.84265,0.000558205,0.000558205,0.000558205
14,50.0134,1.3662,0.9348,0.78917,0.0191,1,0.97486,0.5277,1.32015,2.57687,0.83905,0.000595507,0.000595507,0.000595507
15,54.2572,1.41942,0.92672,0.81729,0.95083,0.86713,0.87321,0.47771,1.34147,2.37948,0.83884,0.00063182,0.00063182,0.00063182
16,58.4147,1.2476,0.83924,0.8234,0.99201,0.30197,0.92823,0.53628,1.32408,2.27166,0.83884,0.000667142,0.000667142,0.000667142
17,62.6668,1.32717,0.84079,0.82391,0.98762,0.19304,0.98524,0.62716,1.36852,2.18597,0.84536,0.000701474,0.000701474,0.000701474
18,66.6985,1.30029,0.85888,0.82389,0.98806,0.40082,0.98762,0.60223,1.48537,2.20277,0.85208,0.000734815,0.000734815,0.000734815
19,70.6675,1.32654,0.77896,0.81971,0.98514,0.60831,0.98832,0.60248,1.46375,2.18207,0.8493,0.000767167,0.000767167,0.000767167
20,74.5843,1.33033,0.81319,0.81765,0.97806,0.86007,0.98758,0.63955,1.31305,2.16883,0.83833,0.000798528,0.000798528,0.000798528
21,78.6872,1.20412,0.77521,0.81713,0.9205,0.98083,0.98525,0.70027,1.21915,2.14977,0.83332,0.000828899,0.000828899,0.000828899
22,82.7941,1.51437,0.85156,0.8118,0.92102,0.95588,0.96983,0.67915,1.25879,2.18632,0.83545,0.00085828,0.00085828,0.00085828
23,86.9517,1.51748,0.81466,0.7934,0.95951,0.45832,0.96267,0.64668,1.30055,2.24803,0.83879,0.000886671,0.000886671,0.000886671
24,90.8906,1.31899,0.77595,0.79683,1,0.3576,0.98005,0.66588,1.28246,2.23136,0.83971,0.000914071,0.000914071,0.000914071
25,94.9404,1.21577,0.76404,0.80829,1,0.38861,0.98517,0.68654,1.27527,2.14921,0.83882,0.000940481,0.000940481,0.000940481
26,99.1754,1.19486,0.76573,0.81536,1,0.45072,0.98319,0.68227,1.24413,2.03769,0.83538,0.000965901,0.000965901,0.000965901
27,103.08,1.23973,0.76165,0.78697,1,0.57639,0.98469,0.69833,1.28931,1.88638,0.83715,0.000990331,0.000990331,0.000990331
28,106.833,1.30673,0.80789,0.81236,0.98753,0.77603,0.98731,0.7104,1.2147,1.66866,0.8315,0.00101377,0.00101377,0.00101377
29,110.752,1.3553,0.74878,0.79014,0.98753,0.77603,0.98731,0.7104,1.2147,1.66866,0.8315,0.00103622,0.00103622,0.00103622
30,114.617,1.29932,0.73141,0.80107,0.979,0.91745,0.98866,0.7132,1.20234,1.45968,0.82833,0.00105768,0.00105768,0.00105768
31,118.638,1.35086,0.76032,0.80369,0.95538,0.95996,0.98918,0.69412,1.25904,1.35205,0.83435,0.00107815,0.00107815,0.00107815
32,122.461,1.27704,0.73636,0.79853,0.9366,0.96078,0.98949,0.67602,1.1917,1.25118,0.83071,0.00109763,0.00109763,0.00109763
33,126.35,1.18098,0.75712,0.80644,0.9366,0.96078,0.98949,0.67602,1.1917,1.25118,0.83071,0.00111612,0.00111612,0.00111612
34,130.17,1.27418,0.73247,0.79023,0.93533,0.96215,0.98977,0.65426,1.17636,1.13776,0.82828,0.00112239,0.00112239,0.00112239
35,134.133,1.14586,0.74597,0.81107,0.92836,0.96373,0.99018,0.67823,1.15078,1.02599,0.82442,0.00110589,0.00110589,0.00110589
36,137.913,1.13931,0.69948,0.80354,0.91442,0.95588,0.98964,0.70007,1.14067,0.94819,0.83015,0.00108938,0.00108938,0.00108938
37,141.748,1.16997,0.68329,0.7974,0.91442,0.95588,0.98964,0.70007,1.14067,0.94819,0.83015,0.00107288,0.00107288,0.00107288
38,145.592,1.15895,0.68885,0.77733,0.90837,0.95588,0.98991,0.68898,1.14794,0.86728,0.82837,0.00105638,0.00105638,0.00105638
39,149.568,1.23009,0.73224,0.81736,0.90543,0.95588,0.98853,0.67968,1.23119,0.8136,0.83056,0.00103987,0.00103987,0.00103987
40,153.378,1.15016,0.67818,0.79841,0.91184,0.95337,0.98969,0.68484,1.23388,0.80314,0.8311,0.00102337,0.00102337,0.00102337
41,157.272,1.18586,0.67238,0.80608,0.91184,0.95337,0.98969,0.68484,1.23388,0.80314,0.8311,0.00100687,0.00100687,0.00100687
42,161.034,1.12102,0.67056,0.81144,0.90118,0.99426,0.98975,0.67942,1.167,0.81363,0.82898,0.000990365,0.000990365,0.000990365
43,164.756,1.15671,0.68643,0.8143,0.89645,0.98939,0.98931,0.72231,1.1333,0.80209,0.82627,0.000973861,0.000973861,0.000973861
44,168.63,1.19859,0.68302,0.81366,0.90261,1,0.98979,0.73363,1.08312,0.78519,0.81848,0.000957358,0.000957358,0.000957358
45,172.537,1.20964,0.66413,0.79395,0.90261,1,0.98979,0.73363,1.08312,0.78519,0.81848,0.000940855,0.000940855,0.000940855
46,176.314,1.06648,0.73628,0.79883,0.89869,0.99857,0.99007,0.68255,1.20457,0.80077,0.82433,0.000924352,0.000924352,0.000924352
47,180.244,1.12287,0.65755,0.79444,0.89814,0.99777,0.99005,0.67281,1.2648,0.79647,0.82821,0.000907848,0.000907848,0.000907848
48,184.227,1.14353,0.66943,0.81658,0.89973,1,0.99007,0.69072,1.1304,0.7487,0.82066,0.000891345,0.000891345,0.000891345
49,187.99,1.12437,0.65419,0.77543,0.89973,1,0.99007,0.69072,1.1304,0.7487,0.82066,0.000874842,0.000874842,0.000874842
50,191.838,1.09602,0.65747,0.79467,0.90646,1,0.99055,0.70974,1.11445,0.68441,0.81985,0.000858338,0.000858338,0.000858338
51,195.581,1.16314,0.67148,0.79876,0.9141,0.99445,0.99094,0.72349,1.08609,0.65468,0.81958,0.000841835,0.000841835,0.000841835
52,199.552,1.14797,0.63252,0.79671,0.91903,0.99135,0.99065,0.68986,1.12029,0.6493,0.82548,0.000825332,0.000825332,0.000825332
